Name,cr_numeric,HP,AC,boss_score,lieutenant_score,minion_score,solo_challenge_score,enhanced_version_score,brute_score,tank_score,skirmisher_score,spellcaster_score,controller_score,ambusher_score,swarm_score,archetypes,family_position,family_size
Aboleth,10.0,135 (18d10+36),17 (Natural Armor),1.0,0.3,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Brute",solo,1
Acolyte,0.25,9 (2d8),10,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,0.0,0.0,0.0,"Brute, Tank, Spellcaster",solo,1
Adult Black Dragon,14.0,195 (17d12+85),19 (Natural Armor),1.0,0.5,0.0,0.0,0.0,0.0,0.6000000000000001,0.5,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Tank, Skirmisher",lieutenant,3
Adult Blue Dragon,16.0,225 (18d12+108),19,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Skirmisher",lieutenant,3
Adult Brass Dragon,13.0,172 (15d12+75),18 (Natural Armor),1.0,0.5,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Skirmisher",lieutenant,3
Adult Bronze Dragon,15.0,212 (17d12+102),19 (Natural Armor),1.0,0.8,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Skirmisher",lieutenant,3
Adult Copper Dragon,14.0,184 (16d12+80),18 (Natural Armor),1.0,0.5,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Skirmisher",lieutenant,3
Adult Gold Dragon,17.0,256 (19d12+133),19 (Natural Armor),1.0,0.8,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Skirmisher",lieutenant,3
Adult Green Dragon,15.0,207 (18d12+90),19 (Natural Armor),1.0,0.5,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Brute, Skirmisher",lieutenant,3
Adult Red Dragon,17.0,256 (19d12+133),19 (Natural Armor),1.0,0.5,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Brute, Skirmisher",lieutenant,3
Adult Silver Dragon,16.0,243 (18d12+126),19 (Natural Armor),1.0,0.8,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.4,0.0,0.0,"Boss, Lieutenant, Skirmisher, Controller",lieutenant,3
Adult White Dragon,13.0,200 (16d12+96),18 (Natural Armor),1.0,0.8,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.5,0.0,0.0,"Boss, Lieutenant, Skirmisher, Controller",lieutenant,3
Air Elemental,5.0,90 (12d10+24),15,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.3,0.0,0.2,0.0,0.0,"Brute, Tank, Skirmisher",solo,1
Allosaurus,2.0,51 (6d10 + 18),13,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.2,0.0,0.0,"Brute, Skirmisher",solo,1
Ancient Black Dragon,21.0,367 (21d20+147),22 (Natural Armor),1.0,0.0,0.0,0.0,0.8,0.0,0.6000000000000001,0.5,0.0,0.2,0.0,0.0,"Boss, Enhanced, Tank, Skirmisher",boss,3
Ancient Blue Dragon,23.0,481 (26d20+208),22 (Natural Armor),1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.3,0.0,0.2,0.0,0.0,"Boss, Enhanced, Skirmisher",boss,3
Ancient Brass Dragon,20.0,297 (17d20+119),20 (Natural Armor),1.0,0.3,0.0,0.0,0.8,0.0,0.2,0.5,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Enhanced, Skirmisher",boss,3
Ancient Bronze Dragon,22.0,444 (24d20+192),22 (Natural Armor),1.0,0.3,0.0,0.0,0.8,0.0,0.2,0.3,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Enhanced, Skirmisher",boss,3
Ancient Copper Dragon,21.0,350 (20d20+140),21 (Natural Armor),1.0,0.3,0.0,0.0,0.8,0.0,0.2,0.3,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Enhanced, Skirmisher",boss,3
Ancient Gold Dragon,24.0,546 (28d20+252),22 (Natural Armor),1.0,0.3,0.0,0.0,0.8,0.2,0.2,0.6,0.0,0.2,0.0,0.0,"Boss, Lieutenant, Enhanced, Skirmisher",boss,3
Ancient Green Dragon,22.0,385 (22d20+154),21 (Natural Armor),1.0,0.0,0.0,0.0,0.8,0.2,0.0,0.3,0.0,0.2,0.0,0.0,"Boss, Enhanced, Skirmisher",boss,3
Ancient Red Dragon,24.0,546 (28d20+252),22 (Natural Armor),1.0,0.0,0.0,0.0,0.8,0.5,0.0,0.3,0.0,0.2,0.0,0.0,"Boss, Enhanced, Brute, Skirmisher",boss,3
Ancient Silver Dragon,23.0,487 (25d20+225),22 (Natural Armor),1.0,0.3,0.0,0.0,0.8,0.0,0.2,0.3,0.0,0.4,0.0,0.0,"Boss, Lieutenant, Enhanced, Skirmisher, Controller",boss,3
Ancient White Dragon,20.0,333 (18d20+144),20 (Natural Armor),1.0,0.3,0.0,0.0,0.8,0.0,0.2,0.3,0.0,0.5,0.0,0.0,"Boss, Lieutenant, Enhanced, Skirmisher, Controller",boss,3
Androsphinx,17.0,199 (19d10+95),17 (Natural Armor),1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.9,0.6,0.0,0.0,"Boss, Skirmisher, Spellcaster, Controller",solo,1
Animated Armor,1.0,33 (6d8+6),18 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,Tank,solo,1
Animated Flying Sword,0.25,14 (4d6),17,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.0,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Animated Object (Huge),0.0,40,15,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.2,0.6,0.0,0.0,0.0,"Brute, Tank, Spellcaster",solo,1
Animated Object (Large),0.0,20,15,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,0.0,0.0,0.0,"Tank, Spellcaster",solo,1
Animated Object (Small or Medium),0.0,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Animated Object (Tiny),0.0,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Animated Rug of Smothering,2.0,27 (5d10),12,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,"Brute, Controller",solo,1
Ankheg,2.0,39 (6d10+6),"14 (Natural Armor, 11 While Prone)",0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.2,0.0,0.0,Brute,solo,1
Ankylosaurus,3.0,68 (8d12 + 16),15,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.2,0.0,0.0,"Brute, Tank",solo,1
Ape,0.5,19 (3d8+6),12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,Brute,solo,1
Archelon,4.0,90 (12d12 + 12),17,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.2,0.0,0.0,0.0,0.0,"Brute, Tank",solo,1
Archmage,12.0,99 (18d8+18),12 (15 With Mage Armor),0.2,0.0,0.0,0.0,0.0,0.7,0.5,0.0,0.9,0.0,0.0,0.0,"Brute, Tank, Spellcaster",solo,1
Assassin,8.0,78 (12d8+24),15 (Studded Leather),0.2,0.3,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.0,0.7,0.0,"Lieutenant, Brute, Tank, Ambusher",solo,1
Avatar of Death,0.0,1 (1d1),20,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.0,0.0,0.3,0.0,0.0,"Tank, Skirmisher, Controller",solo,1
Awakened Shrub,0.0,10 (3d6),9,0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,"Tank, Skirmisher",solo,1
Awakened Tree,2.0,59 (7d12+14),13 (Natural Armor),0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.0,0.0,0.0,"Brute, Tank",solo,1
Axe Beak,0.25,19 (3d10+3),11,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.0,0.0,0.0,0.0,Skirmisher,solo,1
