Monster Name,CR,Primary Archetype,Primary Archetype Score,Secondary Archetype,Secondary Archetype Score,Primary Role,Primary Role Score,Secondary Role,Secondary Role Score
Vulture,0.0,Minion,0.9,Lieutenant,0.3,Skirmisher,0.5,,0.2
Raven,0.0,Minion,0.2,,0.0,Skirmisher,0.5,,0.2
Quipper,0.0,Minion,0.2,,0.0,Skirmisher,0.4,,0.2
Rat,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Badger,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Baboon,0.0,Minion,0.9,Lieutenant,0.3,Brute,0.2,,0.2
Awakened Shrub,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Avatar of Death,0.0,Minion,0.2,,0.0,Skirmisher,1.0,Tank,0.6
Bat,0.0,Minion,0.2,,0.0,Skirmisher,0.5,,0.2
Owl,0.0,Minion,0.2,,0.0,Skirmisher,0.5,,0.2
Piranha,0.0,Minion,0.2,,0.0,Skirmisher,0.4,,0.2
Scorpion,0.0,Minion,0.2,,0.0,Brute,0.5,,0.2
Octopus,0.0,Minion,0.2,,0.0,Ambusher,0.4,,0.2
Seahorse,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Sea Horse,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Cat,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Shrieker,0.0,Minion,0.2,,0.0,Artillery,0.3,,0.2
Shrieker Fungus,0.0,Minion,0.2,,0.0,Brute,0.2,,0.0
Otherworldly Steed,0.0,Solo Challenge,0.3,,0.2,Brute,1.0,Skirmisher,0.6
Giant Fire Beetle,0.0,Solo Challenge,0.4,,0.2,Brute,0.5,,0.2
Giant Insect,0.0,Minion,0.2,,0.0,Brute,0.6,Tank,0.5
Goat,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Spider,0.0,Minion,0.2,,0.0,Controller,0.3,,0.2
Frog,0.0,Solo Challenge,0.3,,0.2,Brute,0.2,,0.2
Lemure,0.0,Minion,0.2,,0.0,Controller,0.3,,0.2
Lizard,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Eagle,0.0,Minion,0.2,,0.0,Brute,0.5,Skirmisher,0.5
Jackal,0.0,Minion,0.9,Lieutenant,0.3,Brute,0.2,,0.2
Draconic Spirit,0.0,Solo Challenge,0.4,,0.2,Tank,0.9,Brute,0.6
Deer,0.0,Minion,0.2,,0.0,Skirmisher,0.7,,0.2
Crab,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Commoner,0.0,Minion,0.2,,0.0,Brute,0.2,,0.2
Homunculus,0.0,Lieutenant,0.3,,0.2,Skirmisher,0.5,,0.2
Hyena,0.0,Minion,0.9,Lieutenant,0.3,Skirmisher,0.5,,0.2
Hawk,0.0,Minion,0.2,,0.0,Skirmisher,0.7,,0.2
