Name,CR,actual_hp,predicted_hp,hp_error,hp_error_pct,hp_baseline,feature_hp,feature_dpr,feature_ac,feature_attack,hp_after_phase2,hp_after_resist_immun_penalty,resist_immun_resistance_penalty,resist_immun_immunity_penalty,resist_immun_total_penalty,ac_deviation,attack_deviation,dpr_deviation,save_dc_deviation,has_advantage_condition,has_disadvantage_condition,has_attackers_advantage,inflicts_prone,phase2_ac_deviation_contribution,phase2_attack_deviation_contribution,phase2_dpr_deviation_contribution,phase2_save_dc_deviation_contribution,phase2_has_advantage_condition_contribution,phase2_has_disadvantage_condition_contribution,phase2_has_attackers_advantage_contribution,phase2_inflicts_prone_contribution,phase2_total_contribution,has_legendary_resistance_scaled,has_regeneration_scaled,vulnerability_count,legendary_actions_per_round,has_spellcasting,size_ordinal_deviation,has_grapple,inflicts_poisoned,inflicts_blinded,inflicts_charmed,inflicts_deafened,inflicts_frightened,inflicts_incapacitated,inflicts_paralyzed,inflicts_petrified,inflicts_restrained,inflicts_stunned,phase3_has_legendary_resistance_scaled,phase3_has_regeneration_scaled,phase3_vulnerability_count,phase3_legendary_actions_per_round,phase3_has_spellcasting,phase3_size_ordinal_deviation,phase3_has_grapple,phase3_inflicts_poisoned,phase3_inflicts_blinded,phase3_inflicts_charmed,phase3_inflicts_deafened,phase3_inflicts_frightened,phase3_inflicts_incapacitated,phase3_inflicts_paralyzed,phase3_inflicts_petrified,phase3_inflicts_restrained,phase3_inflicts_stunned,phase3_intercept,phase3_total_contribution
Awakened Shrub,0.0,10,1.5234018617759482,-8.476598138224052,-84.76598138224051,4.5,0.0,0.0,0,0,6.875,6.875,0.0,0.0,0.0,-1.0,-1.0,1.5,0.0,0,0,0,0,1.5,2.0,-1.125,-0.0,-0.0,0.0,0.0,-0.0,2.375,0.0,0.0,1,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-4.684639175860011,-0.0,-0.0,-0.6669589623640406,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-5.351598138224052
Baboon,0.0,3,-0.2919589623640406,-3.2919589623640406,-109.73196541213468,4.5,0.0,0.0,0,1,0.375,0.375,0.0,0.0,0.0,2.0,0.0,1.5,0.0,0,0,0,0,-3.0,-0.0,-1.125,-0.0,-0.0,0.0,0.0,-0.0,-4.125,0.0,0.0,0,0,0,-1.0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.6669589623640406,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.6669589623640406
Deer,0.0,4,-0.09375,-4.09375,-102.34375,4.5,0.0,0.0,0,0,-0.375,-0.09375,-0.0,-0.0,-0.28125,3.0,0.0,0.5,0.0,0,0,0,0,-4.5,-0.0,-0.375,-0.0,-0.0,0.0,0.0,-0.0,-4.875,-0.0,-0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Eagle,0.0,3,-1.7607089623640406,-4.76070896236404,-158.690298745468,4.5,0.0,0.0,0,0,-4.375,-1.09375,-0.0,-0.0,-3.28125,2.0,2.0,2.5,0.0,0,0,0,0,-3.0,-4.0,-1.875,-0.0,-0.0,0.0,0.0,-0.0,-8.875,-0.0,-0.0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,-0.0,-0.6669589623640406,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.6669589623640406
Frog,0.0,1,7.166082075271919,6.166082075271919,616.6082075271919,4.5,0.0,0.0,0,0,8.5,8.5,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,0,0,0,0,-1.5,4.0,1.5,-0.0,-0.0,0.0,0.0,-0.0,4.0,0.0,0.0,0,0,0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,-0.0,-0.0,-1.3339179247280812,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-1.3339179247280812
Giant Fire Beetle,0.0,4,-0.5419589623640406,-4.54195896236404,-113.548974059101,4.5,0.0,0.0,0,0,0.125,0.125,0.0,0.0,0.0,3.0,-1.0,2.5,0.0,0,0,0,0,-4.5,2.0,-1.875,-0.0,-0.0,0.0,0.0,-0.0,-4.375,0.0,0.0,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,-0.0,-0.0,-0.6669589623640406,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.6669589623640406
Goat,0.0,4,0.625,-3.375,-84.375,4.5,0.0,0.0,0,0,0.625,0.625,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0,0,0,1,-0.0,-2.0,-1.125,-0.0,-0.0,0.0,0.0,-0.75,-3.875,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Rat,0.0,1,7.916082075271919,6.916082075271919,691.6082075271919,4.5,0.0,0.0,0,0,9.25,9.25,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0,0,0,0,-0.0,4.0,0.75,-0.0,-0.0,0.0,0.0,-0.0,4.75,0.0,0.0,0,0,0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,-0.0,-0.0,-1.3339179247280812,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-1.3339179247280812
Octopus,0.0,3,-1.1044589623640406,-4.10445896236404,-136.815298745468,4.5,0.0,0.0,0,0,-1.75,-0.4375,-0.0,-0.0,-1.3125,2.0,2.0,-1.0,0.0,0,0,0,0,-3.0,-4.0,0.75,-0.0,-0.0,0.0,0.0,-0.0,-6.25,-0.0,-0.0,0,0,0,-1.0,1,0,0,0,0,0,0,0,0,0,0,-0.0,0.0,-0.0,-0.0,-0.0,-0.6669589623640406,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.6669589623640406
Owl,0.0,1,0.41608207527191876,-0.5839179247280812,-58.39179247280812,4.5,0.0,0.0,0,0,1.75,1.75,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0,0,0,0,-1.5,-2.0,0.75,-0.0,-0.0,0.0,0.0,-0.0,-2.75,0.0,0.0,0,0,0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.0,-0.0,-0.0,-0.0,-1.3339179247280812,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-1.3339179247280812
