Name,combat_dpr,spell_ac_bonus,spell_feature_invisibility,spell_feature_superior_invisibility,grants_flying,attack_bonus,save_bonus,grants_advantage,inflicts_disadvantage,inflicts_blinded,inflicts_charmed,inflicts_deafened,inflicts_frightened,inflicts_incapacitated,inflicts_paralyzed,inflicts_petrified,inflicts_poisoned,inflicts_prone,inflicts_restrained,inflicts_stunned
Acolyte,4.5,0,0,0,False,2.5,2.5,False,False,False,False,False,False,False,False,False,False,False,False,False
Androsphinx,34.0,0,0,0,False,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,True,False
Archmage,144.0,3,1,0,True,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False
Cloud Giant,43.0,0,0,0,True,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Couatl,10.166666666666666,5,0,0,False,2.5,2.5,False,False,False,False,False,False,False,False,False,True,False,False,False
Cult Fanatic,16.5,2,0,0,False,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False
Deep Gnome (Svirfneblin),4.333333333333333,0,0,0,False,0.0,0.0,True,True,True,False,True,False,False,False,False,False,False,False,False
Deva,51.0,0,0,0,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Djinni,46.5,0,1,0,True,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False
Drider,35.5,0,0,0,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False
Drow,5.5,0,0,0,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False
Druid,12.6,6,0,0,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False
Dryad,8.5,6,0,0,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False
Dust Mephit,10.5,0,0,0,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Efreeti,49.166666666666664,0,1,0,True,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False
Glabrezu,46.0,0,0,0,True,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Hag,13.0,0,0,0,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False
Guardian Naga,53.5,2,0,0,False,0.0,0.0,True,True,False,True,False,True,False,True,False,False,False,True,False
Gynosphinx,17.333333333333332,5,0,1,False,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Ice Mephit,6.0,0,0,0,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Lamia,22.166666666666668,0,0,0,False,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Lich,112.0,5,1,0,False,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Mage,85.33333333333333,5,0,1,True,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Magma Mephit,7.0,0,0,0,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False
Mummy Lord,75.0,2,0,0,False,0.0,0.0,True,True,False,False,False,False,False,True,False,False,False,False,False
Night Hag,19.333333333333332,0,0,0,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Oni,68.0,0,1,0,True,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Pit Fiend,112.0,0,0,0,False,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False
Planetar,87.33333333333333,0,1,0,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False
Priest,14.0,0,0,0,False,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False
Rakshasa,18.0,0,1,0,True,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False
Solar,98.0,0,1,0,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False
Spirit Naga,84.0,0,0,0,False,0.0,0.0,False,False,False,True,False,False,False,True,False,False,False,False,False
Steam Mephit,3.3333333333333335,0,0,0,False,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False
Storm Giant,60.0,0,0,0,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False
Unicorn,19.5,0,0,0,False,0.0,0.0,True,True,False,True,False,True,False,False,False,False,False,True,False
