Name,spell,frequency
Acolyte,bless,slots_3
Acolyte,cure wounds,slots_3
Acolyte,light,at_will
Acolyte,sacred flame,at_will
Acolyte,sanctuary,slots_3
Acolyte,thaumaturgy,at_will
Androsphinx,banishment,slots_3
Androsphinx,command,slots_4
Androsphinx,detect evil and good,slots_4
Androsphinx,detect magic,slots_4
Androsphinx,dispel magic,slots_3
Androsphinx,flame strike,slots_2
Androsphinx,freedom of movement,slots_3
Androsphinx,greater restoration,slots_2
Androsphinx,heroes' feast,slots_1
Androsphinx,lesser restoration,slots_3
Androsphinx,sacred flame,at_will
Androsphinx,spare the dying,at_will
Androsphinx,thaumaturgy,at_will
Androsphinx,tongues,slots_3
Androsphinx,zone of truth,slots_3
Archmage,banishment,slots_3
Archmage,cone of cold,slots_3
Archmage,counterspell,slots_3
Archmage,detect magic,slots_4
Archmage,detect thoughts,slots_3
Archmage,disguise self,at_will
Archmage,fire bolt,at_will
Archmage,fire shield,slots_3
Archmage,fly,slots_3
Archmage,globe of invulnerability,slots_1
Archmage,identify,slots_4
Archmage,invisibility,at_will
Archmage,light,at_will
Archmage,lightning bolt,slots_3
Archmage,mage armor,slots_4
Archmage,mage hand,at_will
Archmage,magic missile,slots_4
Archmage,mind blank,slots_1
Archmage,mirror image,slots_3
Archmage,misty step,slots_3
Archmage,prestidigitation,at_will
Archmage,scrying,slots_3
Archmage,shocking grasp,at_will
Archmage,stoneskin,slots_3
Archmage,teleport,slots_1
Archmage,time stop,slots_1
Archmage,wall of force,slots_3
Cloud Giant,control weather,per_day_1
Cloud Giant,detect magic,at_will
Cloud Giant,feather fall,per_day_3
Cloud Giant,fly,per_day_3
Cloud Giant,fog cloud,at_will
Cloud Giant,gaseous form,per_day_1
Cloud Giant,light,at_will
Cloud Giant,misty step,per_day_3
Cloud Giant,telekinesis,per_day_3
Couatl,bless,per_day_3
Couatl,create food and water,per_day_3
Couatl,cure wounds,per_day_3
Couatl,detect evil and good,at_will
Couatl,detect magic,at_will
Couatl,detect thoughts,at_will
Couatl,dream,per_day_1
Couatl,greater restoration,per_day_1
Couatl,lesser restoration,per_day_3
Couatl,protection from poison,per_day_3
Couatl,sanctuary,per_day_3
Couatl,scrying,per_day_1
Couatl,shield,per_day_3
Cult Fanatic,command,slots_4
Cult Fanatic,hold person,slots_3
Cult Fanatic,inflict wounds,slots_4
Cult Fanatic,light,at_will
Cult Fanatic,sacred flame,at_will
Cult Fanatic,shield of faith,slots_4
Cult Fanatic,spiritual weapon,slots_3
Cult Fanatic,thaumaturgy,at_will
Deep Gnome (Svirfneblin),blindness deafness,per_day_1
Deep Gnome (Svirfneblin),blur,per_day_1
Deep Gnome (Svirfneblin),disguise self,per_day_1
Deep Gnome (Svirfneblin),nondetection,at_will
Deva,commune,per_day_1
Deva,detect evil and good,at_will
Deva,raise dead,per_day_1
Djinni,conjure elemental,per_day_1
Djinni,create food and water,per_day_3
Djinni,creation,per_day_1
Djinni,detect evil and good,at_will
Djinni,detect magic,at_will
Djinni,gaseous form,per_day_1
Djinni,invisibility,per_day_1
Djinni,major image,per_day_1
Djinni,plane shift,per_day_1
Djinni,thunderwave,at_will
Djinni,tongues,per_day_3
Djinni,wind walk,per_day_3
Drider,dancing lights,at_will
Drider,darkness,per_day_1
Drider,faerie fire,per_day_1
Drow,dancing lights,at_will
Drow,darkness,per_day_1
Drow,faerie fire,per_day_1
Druid,animal messenger,slots_3
Druid,barkskin,slots_3
Druid,druidcraft,at_will
Druid,entangle,slots_4
Druid,longstrider,slots_4
Druid,produce flame,at_will
Druid,shillelagh,at_will
Druid,speak with animals,slots_4
Druid,thunderwave,slots_4
Dryad,barkskin,per_day_1
Dryad,druidcraft,at_will
Dryad,entangle,per_day_3
Dryad,goodberry,per_day_3
Dryad,pass without trace,per_day_1
Dryad,shillelagh,per_day_1
Dust Mephit,sleep,per_day_1
Efreeti,conjure elemental,per_day_1
Efreeti,detect magic,at_will
Efreeti,enlarge/reduce,per_day_3
Efreeti,gaseous form,per_day_1
Efreeti,invisibility,per_day_1
Efreeti,major image,per_day_1
Efreeti,plane shift,per_day_1
Efreeti,tongues,per_day_3
Efreeti,wall of fire,per_day_1
Glabrezu,confusion,per_day_1
Glabrezu,darkness,at_will
Glabrezu,detect magic,at_will
Glabrezu,dispel magic,at_will
Glabrezu,fly,per_day_1
Glabrezu,power word stun,per_day_1
Green Hag,dancing lights,at_will
Green Hag,minor illusion,at_will
Green Hag,vicious mockery,at_will
Guardian Naga,banishment,slots_3
Guardian Naga,bestow curse,slots_3
Guardian Naga,calm emotions,slots_3
Guardian Naga,clairvoyance,slots_3
Guardian Naga,command,slots_4
Guardian Naga,cure wounds,slots_4
Guardian Naga,flame strike,slots_2
Guardian Naga,freedom of movement,slots_3
Guardian Naga,geas,slots_2
Guardian Naga,hold person,slots_3
Guardian Naga,mending,at_will
Guardian Naga,sacred flame,at_will
Guardian Naga,shield of faith,slots_4
Guardian Naga,thaumaturgy,at_will
Guardian Naga,true seeing,slots_1
Gynosphinx,banishment,slots_3
Gynosphinx,darkness,slots_3
Gynosphinx,detect magic,slots_4
Gynosphinx,dispel magic,slots_3
Gynosphinx,greater invisibility,slots_3
Gynosphinx,identify,slots_4
Gynosphinx,legend lore,slots_1
Gynosphinx,locate object,slots_3
Gynosphinx,mage hand,at_will
Gynosphinx,minor illusion,at_will
Gynosphinx,prestidigitation,at_will
Gynosphinx,remove curse,slots_3
Gynosphinx,shield,slots_4
Gynosphinx,suggestion,slots_3
Gynosphinx,tongues,slots_3
Ice Mephit,fog cloud,per_day_1
Lamia,charm person,per_day_3
Lamia,disguise self,at_will
Lamia,geas,per_day_1
Lamia,major image,at_will
Lamia,mirror image,per_day_3
Lamia,scrying,per_day_3
Lamia,suggestion,per_day_3
Lich,acid arrow,slots_3
Lich,animate dead,slots_3
Lich,blight,slots_3
Lich,cloudkill,slots_3
Lich,counterspell,slots_3
Lich,detect magic,slots_4
Lich,detect thoughts,slots_3
Lich,dimension door,slots_3
Lich,disintegrate,slots_1
Lich,dispel magic,slots_3
Lich,dominate monster,slots_1
Lich,finger of death,slots_1
Lich,fireball,slots_3
Lich,globe of invulnerability,slots_1
Lich,invisibility,slots_3
Lich,mage hand,at_will
Lich,magic missile,slots_4
Lich,mirror image,slots_3
Lich,plane shift,slots_1
Lich,power word kill,slots_1
Lich,power word stun,slots_1
Lich,prestidigitation,at_will
Lich,ray of frost,at_will
Lich,scrying,slots_3
Lich,shield,slots_4
Lich,thunderwave,slots_4
Mage,cone of cold,slots_1
Mage,counterspell,slots_3
Mage,detect magic,slots_4
Mage,fire bolt,at_will
Mage,fireball,slots_3
Mage,fly,slots_3
Mage,greater invisibility,slots_3
Mage,ice storm,slots_3
Mage,light,at_will
Mage,mage armor,slots_4
Mage,mage hand,at_will
Mage,magic missile,slots_4
Mage,misty step,slots_3
Mage,prestidigitation,at_will
Mage,shield,slots_4
Mage,suggestion,slots_3
Magma Mephit,heat metal,per_day_1
Mummy Lord,animate dead,slots_3
Mummy Lord,command,slots_4
Mummy Lord,contagion,slots_2
Mummy Lord,dispel magic,slots_3
Mummy Lord,divination,slots_3
Mummy Lord,guardian of faith,slots_3
Mummy Lord,guiding bolt,slots_4
Mummy Lord,harm,slots_1
Mummy Lord,hold person,slots_3
Mummy Lord,insect plague,slots_2
Mummy Lord,sacred flame,at_will
Mummy Lord,shield of faith,slots_4
Mummy Lord,silence,slots_3
Mummy Lord,spiritual weapon,slots_3
Mummy Lord,thaumaturgy,at_will
Night Hag,detect magic,at_will
Night Hag,magic missile,at_will
Night Hag,plane shift,per_day_2
Night Hag,ray of enfeeblement,per_day_2
Night Hag,sleep,per_day_2
Oni,charm person,per_day_1
Oni,cone of cold,per_day_1
Oni,darkness,at_will
Oni,gaseous form,per_day_1
Oni,invisibility,at_will
Oni,sleep,per_day_1
Pit Fiend,detect magic,at_will
Pit Fiend,fireball,at_will
Pit Fiend,hold monster,per_day_3
Pit Fiend,wall of fire,per_day_3
Planetar,blade barrier,per_day_3
Planetar,commune,per_day_1
Planetar,control weather,per_day_1
Planetar,detect evil and good,at_will
Planetar,dispel evil and good,per_day_3
Planetar,flame strike,per_day_3
Planetar,insect plague,per_day_1
Planetar,invisibility,at_will
Planetar,raise dead,per_day_3
Priest,cure wounds,slots_4
Priest,dispel magic,slots_2
Priest,guiding bolt,slots_4
Priest,lesser restoration,slots_3
Priest,light,at_will
Priest,sacred flame,at_will
Priest,sanctuary,slots_4
Priest,spirit guardians,slots_2
Priest,spiritual weapon,slots_3
Priest,thaumaturgy,at_will
Rakshasa,charm person,per_day_3
Rakshasa,detect magic,per_day_3
Rakshasa,detect thoughts,at_will
Rakshasa,disguise self,at_will
Rakshasa,dominate person,per_day_1
Rakshasa,fly,per_day_1
Rakshasa,invisibility,per_day_3
Rakshasa,mage hand,at_will
Rakshasa,major image,per_day_3
Rakshasa,minor illusion,at_will
Rakshasa,plane shift,per_day_1
Rakshasa,suggestion,per_day_3
Rakshasa,true seeing,per_day_1
Solar,blade barrier,per_day_3
Solar,commune,per_day_1
Solar,control weather,per_day_1
Solar,detect evil and good,at_will
Solar,dispel evil and good,per_day_3
Solar,invisibility,at_will
Solar,resurrection,per_day_3
Spirit Naga,blight,slots_3
Spirit Naga,charm person,slots_4
Spirit Naga,detect magic,slots_4
Spirit Naga,detect thoughts,slots_3
Spirit Naga,dimension door,slots_3
Spirit Naga,dominate person,slots_2
Spirit Naga,hold person,slots_3
Spirit Naga,lightning bolt,slots_3
Spirit Naga,mage hand,at_will
Spirit Naga,minor illusion,at_will
Spirit Naga,ray of frost,at_will
Spirit Naga,sleep,slots_4
Spirit Naga,water breathing,slots_3
Steam Mephit,blur,per_day_1
Storm Giant,control weather,per_day_3
Storm Giant,detect magic,at_will
Storm Giant,feather fall,at_will
Storm Giant,levitate,at_will
Storm Giant,light,at_will
Storm Giant,water breathing,per_day_3
Unicorn,calm emotions,per_day_1
Unicorn,detect evil and good,at_will
Unicorn,dispel evil and good,per_day_1
Unicorn,druidcraft,at_will
Unicorn,entangle,per_day_1
Unicorn,pass without trace,at_will
