Name,Size,Type,Alignment,AC,HP,Speed,Challenge_Rating,XP,STR,STR_Mod,DEX,DEX_Mod,CON,CON_Mod,INT,INT_Mod,WIS,WIS_Mod,CHA,CHA_Mod,Saving_Throws,Skills,Passive_Perception,Senses,Languages,Vulnerabilities,Damage_Vulnerabilities,Resistances,Immunities,Condition_Immunities,Habitat,Treasure,Gear,Traits,Actions,Reactions,Bonus_Actions,Legendary_Actions,Legendary_Actions_Num,Legendary_Actions_Desc,Source_Name,Image_URL
Aboleth,Large,aberration,Lawful Evil,17 (Natural Armor),135 (18d10+36),"10 ft., swim 40 ft.",10,"5,900",21,+5,9,-1,15,+2,18,+4,15,+2,18,+4,"Con +6, Int +8, Wis +6","History +12, Perception +10",20,Darkvision 120 Ft.,"Deep Speech, Telepathy 120 Ft.",,,,,,,,,"Amphibious: The aboleth can breathe air and water. | Mucous Cloud: While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater. | Probing Telepathy: If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.","Multiattack: The aboleth makes three tentacle attacks. | Tentacle: If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed | Tail:  | Enslave (3/day): The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance. Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.",,,"Detect: The aboleth makes a Wisdom (Perception) check. | Tail Swipe: The aboleth makes one tail attack. | Psychic Drain (Costs 2 Actions): One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",3,,Free Basic Rules (2014),https://files.d20.io/images/390056202/I2zllvCFGhGgg3td9TJ4gA/original.png
Acolyte,Medium,humanoid (any race),Any Alignment,10,9 (2d8),30 ft.,1/4,50,10,+0,10,+0,10,+0,10,+0,14,+2,11,+0,,"Medicine +4, Religion +2",12,,Any One Language (Usually Common),,,,,,,,,"Spellcasting: The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:   • Cantrips (at will): light, sacred flame, thaumaturgy • 1st level (3 slots): bless, cure wounds, sanctuary",Club: ,,,,,,Free Basic Rules (2014),https://files.d20.io/images/390056357/rbP-vpnZsGBLJux5Ev9TuQ/original.png
Adult Black Dragon,Huge,dragon,Chaotic Evil,19 (Natural Armor),195 (17d12+85),"40 ft., fly 80 ft., swim 40 ft.",14,"11,500",23,+6,14,+2,21,+5,14,+2,13,+1,17,+3,"Dex +7, Con +10, Wis +6, Cha +8","Perception +11, Stealth +7",21,"Blindsight 60 Ft., Darkvision 120 Ft.","Common, Draconic",,,,Acid,,,,,"Amphibious: The dragon can breathe air and water. | Legendary Resistance (3/Day): If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite:  | Claw:  | Tail:  | Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Acid Breath (Recharge 5-6): The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.",,,Detect: The dragon makes a Wisdom (Perception) check. | Tail Attack: The dragon makes a tail attack. | Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,3,,Free Basic Rules (2014),https://files.d20.io/images/390056403/yMPnEu0rbsr6gNjSGY3clA/original.png
Adult Blue Dragon,Huge,dragon,Lawful Evil,19,225 (18d12+108),"40 ft., burrow 30 ft., fly 80 ft.",16,"15,000",25,+7,10,+0,23,+6,16,+3,15,+2,19,+4,"Dex +5, Con +11, Wis +7, Cha +9","Perception +12, Stealth +5",22,"Blindsight 60 Ft., Darkvision 120 Ft.","Common, Draconic",,,,Lightning,,,,,"Legendary Resistance (3/Day): If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite:  | Claw:  | Tail:  | Frightful Presence: Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Lightning Breath (Recharge 5-6): The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.",,,Detect: The dragon makes a Wisdom (Perception) check. | Tail Attack: The dragon makes a tail attack. | Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,3,,Free Basic Rules (2014),https://files.d20.io/images/390056492/kFB0IWTkVSBrpca6zwvkoQ/original.png
Adult Brass Dragon,Huge,dragon,Chaotic Good,18 (Natural Armor),172 (15d12+75),"40 ft., burrow 40 ft., fly 80 ft.",13,"10,000",23,+6,10,+0,21,+5,14,+2,13,+1,17,+3,"Dex +5, Con +10, Wis +6, Cha +8","History +7, Perception +11, Persuasion +8, Stealth +5",21,"Blindsight 60 Ft., Darkvision 120 Ft.","Common, Draconic",,,,Fire,,,,,"Legendary Resistance (3/Day): If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite:  | Claw:  | Tail:  | Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Breath Weapons (Recharge 5-6): The dragon uses one of the following breath weapons. Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one. Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.",,,Detect: The dragon makes a Wisdom (Perception) check. | Tail Attack: The dragon makes a tail attack. | Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,3,,Free Basic Rules (2014),https://files.d20.io/images/390056559/VmozX4WzluNM6DjkDTJEKw/original.png
Adult Bronze Dragon,Huge,dragon,Lawful Good,19 (Natural Armor),212 (17d12+102),"40 ft., fly 80 ft., swim 40 ft.",15,"13,000",25,+7,10,+0,23,+6,16,+3,15,+2,19,+4,"Dex +5, Con +11, Wis +7, Cha +9","Insight +7, Perception +12, Stealth +5",22,"Blindsight 60 Ft., Darkvision 120 Ft.","Common, Draconic",,,,Lightning,,,,,"Amphibious: The dragon can breathe air and water. | Legendary Resistance (3/Day): If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite:  | Claw:  | Tail:  | Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Breath Weapons (Recharge 5-6): The dragon uses one of the following breath weapons. Lightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one. Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon. | Change Shape: The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice). In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",,,Detect: The dragon makes a Wisdom (Perception) check. | Tail Attack: The dragon makes a tail attack. | Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,3,,Free Basic Rules (2014),https://files.d20.io/images/390056672/hFxCXP-0_Jc0Mne0ROUXsg/original.png
Adult Copper Dragon,Huge,dragon,Chaotic Good,18 (Natural Armor),184 (16d12+80),"40 ft., climb 40 ft., fly 80 ft.",14,"11,500",23,+6,12,+1,21,+5,18,+4,15,+2,17,+3,"Dex +6, Con +10, Wis +7, Cha +8","Deception +8, Perception +12, Stealth +6",22,"Blindsight 60 Ft., Darkvision 120 Ft.","Common, Draconic",,,,Acid,,,,,"Legendary Resistance (3/Day): If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite:  | Claw:  | Tail:  | Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Breath Weapons (Recharge 5-6): The dragon uses one of the following breath weapons. Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one. Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.",,,Detect: The dragon makes a Wisdom (Perception) check. | Tail Attack: The dragon makes a tail attack. | Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,3,,Free Basic Rules (2014),https://files.d20.io/images/390056601/pWD-JGsnFvsSCma8Vjkofg/original.png
Adult Gold Dragon,Huge,dragon,Lawful Good,19 (Natural Armor),256 (19d12+133),"40 ft., fly 80 ft., swim 40 ft.",17,"18,000",27,+8,14,+2,25,+7,16,+3,15,+2,24,+7,"Dex +8, Con +13, Wis +8, Cha +13","Insight +8, Perception +14, Persuasion +13, Stealth +8",24,"Blindsight 60 Ft., Darkvision 120 Ft.","Common, Draconic",,,,Fire,,,,,"Amphibious: The dragon can breathe air and water. | Legendary Resistance (3/Day): If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite:  | Claw:  | Tail:  | Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Breath Weapons (Recharge 5-6): The dragon uses one of the following breath weapons. Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 66 (12d10) fire damage on a failed save, or half as much damage on a successful one. Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. | Change Shape: The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice). In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",,,Detect: The dragon makes a Wisdom (Perception) check. | Tail Attack: The dragon makes a tail attack. | Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,3,,Free Basic Rules (2014),https://files.d20.io/images/390056744/1v2hUmqO7CJmvEzFisAKRw/original.png
Adult Green Dragon,Huge,dragon,Lawful Evil,19 (Natural Armor),207 (18d12+90),"40 ft., fly 80 ft., swim 40 ft.",15,"13,000",23,+6,12,+1,21,+5,18,+4,15,+2,17,+3,"Dex +6, Con +10, Wis +7, Cha +8","Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6",22,"Blindsight 60 Ft., Darkvision 120 Ft.","Common, Draconic",,,,Poison,Poisoned,,,,"Amphibious: The dragon can breathe air and water. | Legendary Resistance (3/Day): If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite:  | Claw:  | Tail:  | Frightful Presence: Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Poison Breath (Recharge 5-6): The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one.",,,Detect: The dragon makes a Wisdom (Perception) check. | Tail Attack: The dragon makes a tail attack. | Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,3,,Free Basic Rules (2014),https://files.d20.io/images/390056817/0GtEOIkUqE5ZSF-Xgu-OzQ/original.png
Adult Red Dragon,Huge,dragon,Chaotic Evil,19 (Natural Armor),256 (19d12+133),"40 ft., climb 40 ft., fly 80 ft.",17,"18,000",27,+8,10,+0,25,+7,16,+3,13,+1,21,+5,"Dex +6, Con +13, Wis +7, Cha +11","Perception +13, Stealth +6",23,"Blindsight 60 Ft., Darkvision 120 Ft.","Common, Draconic",,,,Fire,,,,,"Legendary Resistance (3/Day): If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack: The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite:  | Claw:  | Tail:  | Frightful Presence: Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Fire Breath (Recharge 5-6): The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 63 (18d6) fire damage on a failed save, or half as much damage on a successful one.",,,Detect: The dragon makes a Wisdom (Perception) check. | Tail Attack: The dragon makes a tail attack. | Wing Attack (Costs 2 Actions): The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,3,,Free Basic Rules (2014),https://files.d20.io/images/390056921/JkAY2BnZBWR-IYsYkqx3_Q/original.png
