Save,Timestamp,R2_CR_lt_1,R2_CR_1_4,R2_CR_5_10,R2_CR_11_16,R2_CR_gt_16,Changes
1,2026-01-19 05:10:21,-1.2968544752309001,-0.030040562817558403,-0.06590300260037751,0.9843289404389672,0.9926749441998994,manual run with constrained coefs
2,2026-01-19 06:00:59,-0.38052141435104403,0.044009701303823534,-0.08793633307019011,0.9842627087420235,0.9920982389673194,switch to 2014 only basis
3,2026-01-19 06:13:37,-0.3997424258313298,0.08127170209329482,-0.07810125492042697,0.9842627087420235,0.9920982389673194,"fix trample, pounce, rampage"
4,2026-01-19 15:49:24,-0.2040674373598108,0.27687248580925505,-0.0721883212638208,0.9871865270806072,0.9936023730985891,confirm entry reducing DC change impact by half
5,2026-01-19 16:05:53,0.4052066207487792,0.5590959634225108,0.4787769164244027,0.9925985856511075,0.9946249979640344,halve phase 1 and 2 penalties per CR design philosophy - avg of offensive and defensive cr
6,2026-01-20 03:06:50,0.40520662073379143,0.5591054225332344,0.5070383686623108,0.9925985853575866,0.9946249979640486,
7,2026-01-20 03:28:50,0.3987778190490763,0.5584470216928077,0.48345015800761293,0.9925985856511075,0.9946249979640344,spell out advantage cost
8,2026-01-20 03:45:20,0.40058721964280186,0.5621423717289453,0.4800580333494333,0.9925985856511075,0.9946249979640344,"add manual calculation for attacks getting advantage against a creature, or it getting disadvantage"
9,2026-01-20 03:55:54,0.3840618532755168,0.5614698795834382,0.4781061256141521,0.9922567025271766,0.994624997958387,spell out inflicts prone
10,2026-01-20 03:57:56,0.3840618532755168,0.5614698795834382,0.4781061256141521,0.9922567025271766,0.994624997958387,manually specifiy inflicts prone
