action_name,count,patterns_notebook,patterns_core,patterns_any
Natural Weapon,386,half_damage_on_save|inflicts_stunned|heals_on_damage|ongoing_damage|regains_hp|aura|inflicts_prone|escape_dc|swallow|save_or_effect|inflicts_restrained|reduces_hp_max|inflicts_blinded|inflicts_poisoned|cant_regain_hp|inflicts_unconscious|repeat_save|inflicts_grappled|advantage_on_attack|inflicts_petrified|inflicts_paralyzed|has_saving_throw,core_takes_damage|core_taking_damage|core_knocked_prone|core_has_advantage_attack|core_falls_prone|core_multiattack_with,half_damage_on_save|inflicts_stunned|core_takes_damage|heals_on_damage|ongoing_damage|core_taking_damage|core_has_advantage_attack|core_falls_prone|regains_hp|inflicts_prone|aura|escape_dc|core_multiattack_with|swallow|save_or_effect|inflicts_restrained|reduces_hp_max|inflicts_blinded|inflicts_poisoned|cant_regain_hp|core_knocked_prone|inflicts_unconscious|repeat_save|inflicts_grappled|advantage_on_attack|inflicts_petrified|inflicts_paralyzed|has_saving_throw
Multiattack,142,fear_effect|inflicts_grappled|escape_dc|swallow|multiattack|life_drain,core_multiattack_three|core_multiattack_with|core_multiattack_two,core_multiattack_three|fear_effect|inflicts_grappled|core_multiattack_with|core_multiattack_two|escape_dc|multiattack|life_drain|swallow
Melee Weapon,123,save_or_effect|half_damage_on_save|has_saving_throw,core_multiattack_with,save_or_effect|half_damage_on_save|core_multiattack_with|has_saving_throw
Ranged Weapon,41,half_damage_on_save|inflicts_poisoned|inflicts_unconscious|repeat_save|inflicts_prone|save_or_effect|has_saving_throw,core_knocked_prone,half_damage_on_save|inflicts_poisoned|core_knocked_prone|inflicts_unconscious|repeat_save|inflicts_prone|save_or_effect|has_saving_throw
Frightful Presence,21,inflicts_frightened|fear_effect|aura|repeat_save|has_saving_throw,core_multiattack_with,inflicts_frightened|fear_effect|aura|repeat_save|core_multiattack_with|has_saving_throw
Breath Weapons,20,breath_weapon|half_damage_on_save|inflicts_unconscious|repeat_save|save_or_effect|inflicts_paralyzed|has_saving_throw,core_taking_damage|core_multiattack_with,breath_weapon|half_damage_on_save|core_taking_damage|inflicts_unconscious|repeat_save|core_multiattack_with|save_or_effect|inflicts_paralyzed|has_saving_throw
Change Shape,12,shapechange|revert_form|legendary_resistance,,shapechange|revert_form|legendary_resistance
Fire Breath,8,save_or_effect|half_damage_on_save|has_saving_throw,core_taking_damage,save_or_effect|core_taking_damage|half_damage_on_save|has_saving_throw
Invisibility,5,,core_multiattack_with,core_multiattack_with
Etherealness,5,ethereal,,ethereal
Lightning Breath,5,save_or_effect|half_damage_on_save|has_saving_throw,core_taking_damage,save_or_effect|core_taking_damage|half_damage_on_save|has_saving_throw
Poison Breath,5,save_or_effect|half_damage_on_save|has_saving_throw,core_taking_damage,save_or_effect|core_taking_damage|half_damage_on_save|has_saving_throw
Swallow,5,inflicts_blinded|ongoing_damage|aura|swallow|inflicts_restrained|has_saving_throw,core_takes_damage|core_falls_prone,inflicts_blinded|core_takes_damage|ongoing_damage|core_falls_prone|aura|swallow|inflicts_restrained|has_saving_throw
Teleport,5,teleport,core_multiattack_with,teleport|core_multiattack_with
Cold Breath,5,save_or_effect|half_damage_on_save|has_saving_throw,core_taking_damage,save_or_effect|core_taking_damage|half_damage_on_save|has_saving_throw
Charm,4,charm_effect|aura|repeat_save|inflicts_charmed|has_saving_throw,,charm_effect|aura|repeat_save|inflicts_charmed|has_saving_throw
Acid Breath,4,save_or_effect|half_damage_on_save|has_saving_throw,core_taking_damage,save_or_effect|core_taking_damage|half_damage_on_save|has_saving_throw
Healing Touch,4,,core_multiattack_with,core_multiattack_with
Hurl Flame,3,,,
Life Drain,3,reduces_hp_max|has_saving_throw,,reduces_hp_max|has_saving_throw
Draining Kiss,3,half_damage_on_save|charm_effect|save_or_effect|reduces_hp_max|has_saving_throw,core_taking_damage,half_damage_on_save|core_taking_damage|charm_effect|save_or_effect|reduces_hp_max|has_saving_throw
Engulf,2,inflicts_blinded|ongoing_damage|aura|inflicts_grappled|save_or_effect|inflicts_restrained|swallow|has_saving_throw,core_takes_damage|core_multiattack_with,inflicts_blinded|core_takes_damage|ongoing_damage|aura|inflicts_grappled|core_multiattack_with|save_or_effect|inflicts_restrained|swallow|has_saving_throw
Web,2,damage_immunity|inflicts_restrained|has_saving_throw,,damage_immunity|inflicts_restrained|has_saving_throw
Rotting Fist,2,regains_hp|cant_regain_hp|reduces_hp_max|has_saving_throw,core_multiattack_with,cant_regain_hp|regains_hp|core_multiattack_with|reduces_hp_max|has_saving_throw
Steam Breath,2,save_or_effect|half_damage_on_save|has_saving_throw,core_taking_damage,save_or_effect|core_taking_damage|half_damage_on_save|has_saving_throw
Touch,2,ongoing_damage,core_takes_damage,core_takes_damage|ongoing_damage
Illusory Appearance,2,has_saving_throw,core_multiattack_with,core_multiattack_with|has_saving_throw
Ink Cloud,2,,,
Dreadful Glare,2,inflicts_frightened|aura|save_or_effect|inflicts_paralyzed|has_saving_throw,,inflicts_frightened|aura|save_or_effect|inflicts_paralyzed|has_saving_throw
Blood Drain,1,,,
Chain,1,inflicts_restrained|ongoing_damage|inflicts_grappled|escape_dc,core_takes_damage,core_takes_damage|ongoing_damage|inflicts_grappled|escape_dc|inflicts_restrained
Animate Trees,1,aura,,aura
Blinding Breath,1,inflicts_blinded|repeat_save|has_saving_throw,,inflicts_blinded|repeat_save|has_saving_throw
Acid Spray,1,save_or_effect|half_damage_on_save|has_saving_throw,core_taking_damage,save_or_effect|core_taking_damage|half_damage_on_save|has_saving_throw
Animate Chains,1,damage_resistance|damage_immunity|aura|multiattack|inflicts_incapacitated,core_multiattack_with,damage_resistance|damage_immunity|aura|core_multiattack_with|multiattack|inflicts_incapacitated
Blinding Spittle,1,inflicts_blinded|aura|has_saving_throw|explodes_on_death,,inflicts_blinded|aura|explodes_on_death|has_saving_throw
Children of the Night,1,,,
Create Specter,1,aura,,aura
Enlarge,1,,core_multiattack_with,core_multiattack_with
Darkness Aura,1,,core_multiattack_with,core_multiattack_with
Deadly Leap,1,extra_damage|inflicts_prone|has_saving_throw,core_falls_prone|core_knocked_prone|core_plus_damage,has_saving_throw|core_knocked_prone|extra_damage|core_falls_prone|inflicts_prone|core_plus_damage
Death Glare,1,fear_effect|has_saving_throw,,fear_effect|has_saving_throw
Create Whirlwind,1,inflicts_restrained|aura|has_saving_throw,core_multiattack_with,inflicts_restrained|aura|core_multiattack_with|has_saving_throw
Ethereal Stride,1,aura|ethereal,,aura|ethereal
Fey Charm,1,repeat_save|charm_effect|has_saving_throw,,repeat_save|charm_effect|has_saving_throw
Invisible Passage,1,,core_multiattack_with,core_multiattack_with
