monster,cr,name,description,damage,damage_2,hit_bonus,source,name_normalized,patterns,pattern_count,patterns_core,pattern_count_core,patterns_str_core,patterns_any,pattern_count_any,patterns_str_any,patterns_str,ma_patterns,ma_pattern_count,has_parsing_issue,complexity_category,ma_patterns_str
Aboleth,Unknown,Multiattack,The aboleth makes three tentacle attacks.,,,,Actions,Multiattack,[],0,[],0,,[],0,,,[],0,False,unclassified,
Adult Black Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Adult Blue Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Adult Brass Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Adult Bronze Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Adult Copper Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Adult Gold Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Adult Green Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Adult Red Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
Adult Silver Dragon,Unknown,Multiattack,The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,,,,Actions,Multiattack,"['multiattack', 'fear_effect']",2,"['core_multiattack_three', 'core_multiattack_with']",2,core_multiattack_three|core_multiattack_with,"['core_multiattack_three', 'multiattack', 'fear_effect', 'core_multiattack_with']",4,core_multiattack_three|core_multiattack_with|fear_effect|multiattack,multiattack|fear_effect,"['count_three', 'with_its', 'one_with', 'two_with']",4,False,simple_specific,count_three|with_its|one_with|two_with
