pattern,count
has_saving_throw,232
multiattack,107
save_or_effect,91
half_damage_on_save,79
aura,70
repeat_save,65
fear_effect,45
spellcasting,42
inflicts_restrained,37
inflicts_prone,37
inflicts_grappled,37
magic_resistance,33
escape_dc,33
inflicts_frightened,31
regains_hp,30
shapechange,26
inflicts_poisoned,26
innate_spellcasting,24
revert_form,24
advantage_on_attack,23
breath_weapon,22
inflicts_paralyzed,18
cant_regain_hp,17
extra_damage,16
ongoing_damage,15
swallow,13
inflicts_blinded,12
reduces_hp_max,12
inflicts_incapacitated,11
explodes_on_death,11
inflicts_unconscious,10
ethereal,10
charm_effect,10
stealth_advantage,8
legendary_resistance,8
death_burst,7
teleport,6
surprise_attack,6
heals_on_damage,6
regeneration,6
incorporeal,5
damage_immunity,5
inflicts_charmed,5
regeneration_prevention,4
inflicts_petrified,3
speed_reduction,3
damage_on_start_turn,3
gaze_attack,2
bonus_action_hide,2
damage_resistance,2
inflicts_stunned,2
damage_on_end_turn,1
life_drain,1
