trait_name,count,patterns_notebook,patterns_core,patterns_any
Magic Resistance,31,magic_resistance,,magic_resistance
Amphibious,30,,,
Innate Spellcasting,24,innate_spellcasting|spellcasting,core_multiattack_with,innate_spellcasting|core_multiattack_with|spellcasting
Legendary Resistance,23,,,
Keen Smell,18,,,
Pack Tactics,17,aura,core_has_advantage_attack,core_has_advantage_attack|aura
False Appearance,16,,,
Shapechanger,13,shapechange|revert_form,core_multiattack_with,shapechange|revert_form|core_multiattack_with
Keen Hearing and Smell,13,,,
Charge,13,inflicts_prone|has_saving_throw,core_multiattack_with|core_knocked_prone,core_knocked_prone|inflicts_prone|core_multiattack_with|has_saving_throw
Spider Climb,12,,,
Magic Weapons,12,,,
Spellcasting,12,teleport|spellcasting,core_spellcaster_level|core_multiattack_with,teleport|core_spellcaster_level|core_multiattack_with|spellcasting
Swarm,10,regains_hp|cant_regain_hp,,regains_hp|cant_regain_hp
Water Breathing,9,,,
Devil's Sight,8,,,
Hold Breath,8,,,
Keen Sight,7,,,
Sunlight Sensitivity,7,advantage_on_attack,,advantage_on_attack
Web Walker,7,,,
Blood Frenzy,5,,core_has_advantage_attack,core_has_advantage_attack
Echolocation,5,,,
Death Burst,5,inflicts_blinded|half_damage_on_save|death_burst|repeat_save|explodes_on_death|save_or_effect|has_saving_throw,core_taking_damage,inflicts_blinded|half_damage_on_save|core_taking_damage|death_burst|repeat_save|explodes_on_death|save_or_effect|has_saving_throw
Regeneration,5,regeneration|regains_hp|damage_on_start_turn|regeneration_prevention,core_multiattack_with,regeneration_prevention|damage_on_start_turn|regeneration|regains_hp|core_multiattack_with
Trampling Charge,5,inflicts_prone|has_saving_throw,core_multiattack_with|core_knocked_prone,core_knocked_prone|inflicts_prone|core_multiattack_with|has_saving_throw
Web Sense,5,,core_multiattack_with,core_multiattack_with
Pounce,5,inflicts_prone|has_saving_throw,core_multiattack_with|core_knocked_prone,core_knocked_prone|inflicts_prone|core_multiattack_with|has_saving_throw
Stone Camouflage,5,stealth_advantage,,stealth_advantage
Amorphous,4,,,
Siege Monster,4,,,
Telepathic Bond,4,,core_multiattack_with,core_multiattack_with
Illumination,4,extra_damage,,extra_damage
Rejuvenation,4,aura,,aura
Standing Leap,4,,core_multiattack_with,core_multiattack_with
Incorporeal Movement,4,incorporeal,core_takes_damage,core_takes_damage|incorporeal
Immutable Form,4,,,
Keen Hearing,4,,,
Keen Hearing and Sight,3,,,
Angelic Weapons,3,extra_damage,core_multiattack_with,extra_damage|core_multiattack_with
Antimagic Susceptibility,3,inflicts_unconscious|inflicts_incapacitated,,inflicts_unconscious|inflicts_incapacitated
Heated Body,3,aura,core_takes_damage|core_multiattack_with,core_takes_damage|aura|core_multiattack_with
Ice Walk,3,,,
Flyby,3,,,
Relentless (Recharges after a Short or Long Rest),3,,,
Sure-Footed,3,,,
Keen Sight and Smell,3,,,
Mimicry,2,has_saving_throw,core_multiattack_with,core_multiattack_with|has_saving_throw
Surprise Attack,2,surprise_attack,core_multiattack_with,surprise_attack|core_multiattack_with
Stench,2,inflicts_poisoned|aura|has_saving_throw,,inflicts_poisoned|aura|has_saving_throw
Vampire Weaknesses,2,inflicts_paralyzed|advantage_on_attack|inflicts_incapacitated|explodes_on_death,,advantage_on_attack|inflicts_paralyzed|inflicts_incapacitated|explodes_on_death
Undead Fortitude,2,,core_multiattack_with,core_multiattack_with
Berserk,2,aura|has_saving_throw|explodes_on_death,core_multiattack_with,aura|explodes_on_death|core_multiattack_with|has_saving_throw
Brave,2,,,
Brute,2,,core_multiattack_with,core_multiattack_with
Dark Devotion,2,,,
Fey Ancestry,2,,,
Wakeful,2,,,
Underwater Camouflage,2,stealth_advantage,,stealth_advantage
Petrifying Gaze,2,gaze_attack|repeat_save|save_or_effect|inflicts_restrained|inflicts_petrified|has_saving_throw,core_multiattack_with,gaze_attack|repeat_save|core_multiattack_with|save_or_effect|inflicts_restrained|inflicts_petrified|has_saving_throw
Earth Glide,2,,,
Divine Awareness,2,,,
Damage Transfer,2,inflicts_grappled,,inflicts_grappled
Inscrutable,2,,,
Limited Telepathy,2,,core_multiattack_with,core_multiattack_with
Elemental Demise,2,,,
Heated Weapons,2,,core_multiattack_with,core_multiattack_with
Lightning Absorption,2,heals_on_damage,,heals_on_damage
Sneak Attack (1/Turn),2,advantage_on_attack,core_has_advantage_attack|core_multiattack_with,core_has_advantage_attack|advantage_on_attack|core_multiattack_with
Reckless,2,,core_attackers_advantage_1,core_attackers_advantage_1
Rampage,2,,core_multiattack_with,core_multiattack_with
Confer Fire Resistance,1,damage_resistance,,damage_resistance
Bound,1,aura,,aura
Blind Senses,1,,,
Beast of Burden,1,,,
