Save,Timestamp,R2_CR_lt_1,R2_CR_1_4,R2_CR_5_10,R2_CR_11_16,R2_CR_gt_16,Changes
1,2026-01-17 06:15:41,0.5885835422394203,0.46672311371608743,0.6954620114387562,1.0,0.9981381880375477,Fixed DPR parser for restriction patterns (Vampire Spawn); Added fly_speed_deviation and darkvision_deviation with CR-based baselines; Removed max_speed_deviation; Fixed em-dash bug in count_proficiencies
2,2026-01-17 06:18:41,0.5885835422394203,0.46672311371608743,0.6954620114387562,1.0,0.9981381880375477,expanding dpr
3,2026-01-17 06:25:33,-0.7920555223068453,0.09194469974899444,-0.38783646563098984,1.0,0.9961765195440576,fix r2 calculation
4,2026-01-17 06:33:33,-0.7920555223068453,0.09194469974899444,-0.38783646563098984,1.0,0.9961765195440576,no change
5,2026-01-17 06:42:14,-0.7920555223068453,0.09194469974899444,-0.3795225981875996,1.0,0.9961765195440576,fix leg. actions parsers for em dashes
6,2026-01-17 07:01:50,-0.9014657079001345,0.11538952312937245,0.12891802895635607,1.0,0.9961765195440576,add attack damage riders (taking xx damage)
7,2026-01-19 05:03:19,-1.8773402844983091,-0.06625071849608766,-0.09067930911073407,-2.6233046841264605,-3.8619407385379567,(automated run - no description provided)
8,2026-01-19 05:04:48,-1.8773402844983091,-0.06625071849608766,-0.09067930911073407,-2.6233046841264605,-3.8619407385379567,(automated run - no description provided)
9,2026-01-19 05:08:20,-1.2968544752309001,-0.030040562817558403,-0.06590300260037751,0.9843289404389672,0.9926749441998994,(automated run - no description provided)
10,2026-01-19 05:41:25,-1.2968544752309001,-0.030040562817558403,-0.06590300260037751,0.9843289404389672,0.9926749441998994,(automated run - no description provided)
11,2026-01-19 06:00:18,-0.38052141435104403,0.044009701303823534,-0.08793633307019011,0.9842627087420235,0.9920982389673194,(automated run - no description provided)
12,2026-01-19 06:09:01,-0.3875299598685098,0.08127170209329482,-0.06468939199320456,0.9842627087420235,0.9920982389673194,(automated run - no description provided)
13,2026-01-19 06:10:52,-0.3997424258313298,0.08127170209329482,-0.07810125492042697,0.9842627087420235,0.9920982389673194,(automated run - no description provided)
14,2026-01-19 06:18:20,-0.2040674373598108,0.27687248580925505,-0.0721883212638208,0.9871865270806072,0.9936023730985891,(automated run - no description provided)
15,2026-01-19 15:56:56,0.0030176101554512114,0.3120012863889047,0.028484288393673673,0.9873095380777845,0.9934198035588814,(automated run - no description provided)
16,2026-01-19 15:57:08,0.2861762852456222,0.3438286293750903,0.059238093224540656,0.9836936717916711,0.9943660806616232,(automated run - no description provided)
17,2026-01-19 15:57:19,0.3973219063076646,0.3760803793348779,0.19436090223643887,0.9947116478158965,0.9944139426348132,(automated run - no description provided)
18,2026-01-19 15:57:31,0.40889210326022973,0.36935820513672135,0.17957654970061077,0.9948727420508031,0.9944139426768377,(automated run - no description provided)
19,2026-01-19 16:00:40,0.4052066207487792,0.5590959634225108,0.4787769164244027,0.9925985856511075,0.9946249979640344,(automated run - no description provided)
20,2026-01-19 16:02:59,0.4052066207487792,0.5590959634225108,0.4787769164244027,0.9925985856511075,0.9946249979640344,(automated run - no description provided)
